20200301, 31, 0, 0
20200302, 50, 0, 0
20200303, 114, 0, 0
20200304, 197, 1, 0
20200305, 237, 3, 0
20200306, 365, 5, 0
20200307, 500, 7, 0
20200308, 800, 10, 0
20200309, 1204, 28, 0
20200310, 1639, 36, 135
20200311, 2140, 48, 183
20200312, 2965, 84, 189
20200313, 4231, 121, 193
20200314, 5753, 136, 517
20200315, 7753, 288, 517
20200316, 9191, 309, 530
20200317, 11178, 491, 1028
20200318, 13716, 598, 1081
20200319, 17147, 767, 1107
20200320, 19980, 1002, 1588
20200321, 24926, 1326, 2125
20200322, 28572, 1720, 2575
20200323, 33089, 2182, 3355
20200324, 39673, 2696, 3794
20200325, 47610, 3434, 5367
20200326, 56188, 4089, 7015
20200327, 64059, 4858, 9357
20200328, 72248, 5690, 12285
20200329, 78797, 6528, 14709
20200330, 85195, 7340, 16780
20200331, 94417, 8189, 19259
20200401, 102136, 9053, 22647
20200402, 110268, 10003, 26743
20200403, 117710, 10935, 30513
20200404, 124700, 11744, 34200
20200405, 130750, 12418, 38000
20200406, 135032, 13055, 40437
20200407, 140510, 13798, 43208
20200408, 146690, 14555, 48021
20200409, 152446, 15283, 52165
20200410, 157022, 15843, 55668
20200411, 161852, 16353, 59109
20200412, 166019, 16972, 62391
20200413, 169496, 17489, 64727
20200414, 172541, 18056, 67504
20200415, 177633, 18579, 70853
20200416, 182816, 19130, 74797
20200417, 188068, 19478, 78299
20200418, 191726, 20043, 74622
20200419, 195944, 20453, 77357
20200420, 200210, 20852, 80587
20200421, 204175, 21282, 82515
20200422, 208389, 21717, 85915
20200423, 213024, 22157, 89250
20200424, 219764, 22524, 92355
20200425, 223759, 22902, 95708
20200426, 209465, 23521, 100875
