20200301, 31, 0, 0
20200302, 50, 0, 0
20200303, 114, 0, 0
20200304, 197, 1, 0
20200305, 237, 3, 0
20200306, 365, 5, 0
20200307, 500, 7, 0
20200308, 800, 10, 0
20200309, 1204, 28, 0
20200310, 1639, 36, 135
20200311, 2140, 48, 183
20200312, 2965, 84, 189
20200313, 4231, 121, 193
20200314, 5753, 136, 517
20200315, 7753, 288, 517
20200316, 9191, 309, 530
20200317, 11178, 491, 1028
20200318, 13716, 598, 1081
20200319, 17147, 767, 1107
20200320, 19980, 1002, 1588
20200321, 24926, 1326, 2125
20200322, 28572, 1720, 2575
20200323, 33089, 2182, 3355
20200324, 39673, 2696, 3794
20200325, 47610, 3434, 5367
20200326, 56188, 4089, 7015
20200327, 64059, 4858, 9357
20200328, 72248, 5690, 12285
20200329, 78797, 6528, 14709
20200330, 85195, 7340, 16780
20200331, 94417, 8189, 19259
20200401, 102136, 9053, 22647
20200402, 110268, 10003, 26743
20200403, 117710, 10935, 30513
20200404, 124700, 11744, 34200
20200405, 130750, 12418, 38000
20200406, 135032, 13055, 40437
